Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,12/7/2023,8:30 PM,12/7/2023,10:30 PM,Haggis Hitters at Rutherford,,Sheet B,,,0,Game,,23HF06,0,23HF11,,FALSE,539473361
SportsEngine,12/7/2023,8:30 PM,12/7/2023,10:30 PM,Barber at Liske,,Sheet C,,,0,Game,,23HF03,0,23HF08,,FALSE,539473362
SportsEngine,12/14/2023,6:00 PM,12/14/2023,8:30 PM,Haggis Hitters at Right Down The Line,,Sheet A,,,0,Game,,23HF06,0,23HF10,,FALSE,539473363
SportsEngine,12/14/2023,6:00 PM,12/14/2023,8:30 PM,Liske at Standeven,,Sheet B,,,0,Game,,23HF08,0,23HF12,,FALSE,539473364
SportsEngine,12/14/2023,6:00 PM,12/14/2023,8:30 PM,Butter Cutters at Curlin' Baconators,,Sheet C,,,0,Game,,23HF04,0,23HF05,,FALSE,539473365
SportsEngine,12/14/2023,8:30 PM,12/14/2023,10:30 PM,Bada Bing Bada Broom at Ice Breakers,,Sheet A,,,0,Game,,23HF02,0,23HF07,,FALSE,539473366
SportsEngine,12/14/2023,8:30 PM,12/14/2023,10:30 PM,4 Sheets To The Wind at Barber,,Sheet B,,,0,Game,,23HF01,0,23HF03,,FALSE,539473367
SportsEngine,12/14/2023,8:30 PM,12/14/2023,10:30 PM,Perfect Curl at Rutherford,,Sheet C,,,0,Game,,23HF09,0,23HF11,,FALSE,539473368
SportsEngine,12/21/2023,6:00 PM,12/21/2023,8:30 PM,Liske at Rutherford,,Sheet A,,,0,Game,,23HF08,0,23HF11,,FALSE,539473369
SportsEngine,12/21/2023,6:00 PM,12/21/2023,8:30 PM,Bada Bing Bada Broom at Perfect Curl,,Sheet B,,,0,Game,,23HF02,0,23HF09,,FALSE,539473370
SportsEngine,12/21/2023,6:00 PM,12/21/2023,8:30 PM,Barber at Ice Breakers,,Sheet C,,,0,Game,,23HF03,0,23HF07,,FALSE,539473371
SportsEngine,12/21/2023,8:30 PM,12/21/2023,10:30 PM,Curlin' Baconators at Standeven,,Sheet A,,,0,Game,,23HF05,0,23HF12,,FALSE,539473372
SportsEngine,12/21/2023,8:30 PM,12/21/2023,10:30 PM,Butter Cutters at Haggis Hitters,,Sheet B,,,0,Game,,23HF04,0,23HF06,,FALSE,539473373
SportsEngine,12/21/2023,8:30 PM,12/21/2023,10:30 PM,4 Sheets To The Wind at Right Down The Line,,Sheet C,,,0,Game,,23HF01,0,23HF10,,FALSE,539473374
