Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,11/21/2024,6:00 PM,11/21/2024,8:00 PM,Bueermann at Liske,,Sheet C,,,0,Game,,24HF01,1,24HF08,,FALSE,562957920
SportsEngine,11/21/2024,6:00 PM,11/21/2024,8:00 PM,Barber at Fuming Stones,,Sheet B,,,0,Game,,24HF03,1,24HF05,,FALSE,562957921
SportsEngine,11/21/2024,6:00 PM,11/21/2024,8:00 PM,JAKE at Team 13,,Sheet A,,,0,Game,,24HF12,1,24HF02,,FALSE,562957922
SportsEngine,12/5/2024,8:30 PM,12/5/2024,10:30 PM,Liske at Ordering Takeout,,Sheet B,,,0,Game,,24HF00,1,24HF01,,FALSE,562957923
SportsEngine,12/5/2024,6:00 PM,12/5/2024,8:00 PM,Unnirvin at Standeven,,Sheet C,,,0,Game,,24HF10,1,24HF06,,FALSE,562957924
SportsEngine,12/5/2024,8:30 PM,12/5/2024,10:30 PM,JAKE at Barber,,Sheet A,,,0,Game,,24HF05,1,24HF02,,FALSE,562957925
SportsEngine,12/5/2024,6:00 PM,12/5/2024,8:00 PM,Team 12 at Ice Breakers,,Sheet A,,,0,Game,,24HF09,1,24HF11,,FALSE,562957926
SportsEngine,12/5/2024,6:00 PM,12/5/2024,8:00 PM,Neil at Best Guess,,Sheet B,,,0,Game,,24HF04,1,24HF07,,FALSE,562957927
SportsEngine,12/5/2024,8:30 PM,12/5/2024,10:30 PM,Fuming Stones at Team 13,,Sheet C,,,0,Game,,24HF12,1,24HF03,,FALSE,562957928
SportsEngine,12/12/2024,6:00 PM,12/12/2024,8:00 PM,Team 12 at Ordering Takeout,,Sheet C,,,0,Game,,24HF00,1,24HF11,,FALSE,562957929
SportsEngine,12/12/2024,8:30 PM,12/12/2024,10:30 PM,JAKE at Best Guess,,Sheet B,,,0,Game,,24HF04,1,24HF02,,FALSE,562957930
SportsEngine,12/12/2024,8:30 PM,12/12/2024,10:30 PM,Bueermann at Team 13,,Sheet A,,,0,Game,,24HF12,1,24HF08,,FALSE,562957931
SportsEngine,12/12/2024,6:00 PM,12/12/2024,8:00 PM,Ice Breakers at Unnirvin,,Sheet A,,,0,Game,,24HF06,1,24HF09,,FALSE,562957932
SportsEngine,12/12/2024,8:30 PM,12/12/2024,10:30 PM,Fuming Stones at Standeven,,Sheet C,,,0,Game,,24HF10,1,24HF03,,FALSE,562957933
